Date,Holiday Name
20140101,New Year's Day
20140126,Australia Day
20140418,Good Friday
20140419,Easter Saturday
20140421,Easter Monday
20140425,Anzac Day
20141225,Christmas Day
20141226,Boxing Day
20150101,New Year's Day
20150126,Australia Day
20150403,Good Friday
20150406,Easter Monday
20150425,Anzac Day
20151225,Christmas Day
20160101,New Year's Day
20160126,Australia Day
20160325,Good Friday
20160328,Easter Monday
20160425,Anzac Day
20161225,Christmas Day
20170101,New Year's Day
20170102,Additional day
20170126,Australia Day
20170414,Good Friday
20170417,Easter Monday
20170425,ANZAC Day
20171225,Christmas Day
20180101,New Year's Day
20180126,Australia Day
20180330,Good Friday
20180402,Easter Monday
20180425,ANZAC Day
20181225,Christmas Day
20190101,New Year's Day
20190128,Australia Day
20190419,Good Friday
20190420,Saturday before Easter Sunday
20190421,Easter Sunday
20190422,Easter Monday
20190423,Easter Tuesday
20190425,Anzac Day
20191007,Labour Day
20191224,Christmas Eve
20191225,Christmas Day 
20191226,Boxing Day
20200101,New Year's Day
20200126,Australia Day
20200127,Australia Day
20200410,Good Friday
20200411,Easter Saturday
20200412,Easter Sunday
20200413,Easter Monday
20200414,Easter Tuesday
20200425,Anzac Day
20201224,Christmas Eve
20201225,Christmas Day 
20201226,Boxing Day
20201228,Boxing Day (additional day)
20210101,New Year's Day
20210126,Australia Day
20210402,Good Friday
20210403,Easter Saturday
20210404,Easter Sunday
20210405,Easter Monday
20210406,Easter Tuesday
20210425,Anzac Day
20210426,Anzac Day
20211225,Christmas Day 
20211226,Boxing Day
20211227,Christmas (additional day)
20211228,Boxing Day (additional day)
20220101,New Year's Day
20220103,New Year's Day (additional day)
20220126,Australia Day
20220415,Good Friday
20220416,Easter Saturday
20220417,Easter Sunday
20220418,Easter Monday
20220419,Easter Tuesday
20220425,Anzac Day
20221225,Christmas Day 
20221226,Boxing Day
20221227,Christmas (additional day)